#Dissociation energies         291 molecules
#       Molecule                    HH                   Luo                    G2               Adopted
#                        Do  sigma(Do)         Do  sigma(Do)         Do  sigma(Do)         Do  sigma(Do)
#                      [eV]       [eV]       [eV]       [eV]       [eV]       [eV]       [eV]       [eV]
   H2    H    H    4.478130       ---    4.478007  0.000004         ---       ---    4.478007  0.000004
  Li2   Li   Li    1.046000       ---    1.049900       ---    1.124000       ---    1.049900       ---
   B2    B    B    3.020000       ---    2.802000       ---         ---       ---    2.802000       ---
   C2    C    C    6.210000       ---    6.371000  0.160000    6.401000       ---    6.371000  0.160000
   N2    N    N    9.759400       ---    9.753940  0.000900    9.705000       ---    9.753940  0.000900
   O2    O    O    5.115600       ---    5.116420  0.000130    5.013000       ---    5.116420  0.000130
   F2    F    F    1.602000       ---    1.605960  0.001000    1.587000       ---    1.605960  0.001000
  Na2   Na   Na    0.720000       ---    0.736800  0.006100    0.833000       ---    0.736800  0.006100
  Mg2   Mg   Mg    0.050100       ---    0.079000       ---         ---       ---    0.079000       ---
  Al2   Al   Al    1.550000       ---    1.340000  0.061000         ---       ---    1.340000  0.061000
  Si2   Si   Si    3.210000       ---    3.175000       ---    3.192000       ---    3.175000       ---
   P2    P    P    5.033000       ---    5.031000       ---    4.976000       ---    5.031000       ---
   S2    S    S    4.369300       ---    4.369400       ---    4.224000       ---    4.369400       ---
  Cl2   Cl   Cl    2.479367       ---    2.474000  0.020000    2.420000       ---    2.474000  0.020000
   K2    K    K    0.514000       ---    0.552000       ---         ---       ---    0.552000       ---
  Cu2   Cu   Cu    2.030000       ---    2.043000       ---         ---       ---    2.043000       ---
  As2   As   As    3.960000       ---    3.960000  0.100000         ---       ---    3.960000  0.100000
  Se2   Se   Se    3.411000       ---    3.387000       ---         ---       ---    3.387000       ---
  Sb2   Sb   Sb    3.090000       ---    3.088000  0.065000         ---       ---    3.088000  0.065000
  Te2   Te   Te    2.677000       ---    2.633000  0.043000         ---       ---    2.633000  0.043000
   I2    I    I    1.542380       ---    1.539500  0.006100         ---       ---    1.539500  0.006100
  Cs2   Cs   Cs    0.394000       ---    0.416660  0.000087         ---       ---    0.416660  0.000087
  H2+    H   H+    2.650780       ---    2.650639  0.000004         ---       ---    2.650639  0.000004
 He2+   He  He+    2.365000       ---    2.445620  0.000220         ---       ---    2.445620  0.000220
  C2+    C   C+    5.320000       ---    6.202000  0.200000         ---       ---    6.202000  0.200000
